Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution
29,"If (n – 1) is an odd number, what are the two other
odd numbers nearest to it?","n, n – 1","n, n – 2","n – 3, n + 1","n – 3, n + 5",c,"(n – 1) is odd ⇒ (n – 1) – 2 and (n – 1) + 2 are odd
⇒ (n – 3) and (n + 1) are odd."
30,Which of the following is always odd?,Sum of two odd numbers,Difference of two odd numbers,Product of two odd numbers,None of these,c,The product of two odd numbers is always odd.
31,"If x is an odd integer, then which of the following
is true?",5x – 2 is even,5x2 + 2 is odd,5x2 + 3 is odd,None of these,b,x is odd ⇒ x2 is odd ⇒ 5x2 is odd ⇒ (5x2 + 2) is odd.
32,"If a and b are two numbers such that ab = 0, then
(R.R.B., 2006)",a = 0 and b = 0,a = 0 or b = 0 or both,a = 0 and b ≠ 0,b = 0 and a ≠ 0,b,ab = 0 ⇒ a = 0 or b = 0 or both are zero.
33,"If A, B, C, D are numbers in increasing order and
D, B, E are numbers in decreasing order, then which
one of the following sequences need neither be in
a decreasing nor in an increasing order?
(P.C.S., 2008)",m,"E, B, C","D, B, A","A, E, C",d,"A < B < C < D ⇒ D > B > A
Also, A < B < C < D and D > B > E ⇒ E < B < C < D
⇒ E < C < D and E < B < C.
Clearly, we cannot arrange A, E, C is an increasing or
decreasing order."
34,"If m, n, o, p and q are integers, then m (n + o) (p – q)
must be even when which of the following is even?",,p,m + n,n + p,a,"When m is even, then m (n + 'o') (p – q) is even."
35,"If n is a negative number, then which of the following
is the least?",0,– n,2n,n2,c,"n < 0 ⇒ 2n < 0, – n > 0 and n2 = (– n)2 > 0.
Thus, out of the numbers 0, – n, 2n and n2 we find that
2n is the least."
36,"If x – y = 8, then which of the following must be
true?
I. Both x and y are positive.
II. If x is positive, y must be positive.
III. If x is negative, y must be negative.",I only,II only,I and II,III only,d,"It is given that x – y = 8.
I. We may have x = 5 and y = – 3.
So, it is not necessary that both x and y are positive.
II. If x is positive, then it is not necessary that y is positive, as
x = 5 ⇒ y = – 3.
(32 and 2),
(8 and 8).
In any case, the sum is not 35."
37,"If x and y are negative, then which of the following
statements is/are always true?
I. x + y is positive.
II. xy is positive.
III. x – y is positive.",I only,II only,III only,I and III only,b,"If x < 0 and y < 0, then clearly xy > 0.
So, whenever x and y are negative, then xy is positive.
Note that (x < 0, y < 0) does not imply that (x + y) is
positive.
e.g. If x = – 2 and y = – 3 , then (x + y) = – 5 < 0.
Note that (x < 0, y < 0) does not imply that (x – y) > 0.
e.g. If x = – 5 and y = – 2, then x – y = – 5 – (– 2)
= – 5 + 2 = – 3 < 0."
38,"If n = 1 + x, where x is the product of four consecu-
tive positive integers, then which of the following
is/are true?
I. n is odd.
III. n is a perfect square.",I only,I and II only,"I and III only
2
II. n is prime.",None of these,c,"Let n = 1 + x = 1 + m (m + 1) (m + 2) (m + 3), where m
is a positive integer.
Then, clearly two of m, (m + 1), (m + 2), (m + 3) are even
and so their product is even. Thus, x is even and hence
n = 1 + x is odd.
Also, n = 1 + m (m + 3) (m + 1) (m + 2) = 1 + (m2 + 3m)
(m2 + 3m + 2)
⇒ n = 1 + y (y + 2), where m2 + 3m = y
⇒ n = 1 + y2 + 2y = (1 + y)2, which is a perfect square.
Hence, I and III are true.
2"
39,"If x =
5
y + 3, how does y change when x increases
from 1 to 2?","y increases from – 5 to –
2",y increases from,"y increases from
to 5
5
5
2
to 5","y decreases from – 5 to –
5
2",a,"1 ≤ x ≤ 2 ⇒ 1 ≤
⇒ (1 – 3)
⇒ ≤≤
–5
y
2 55
≤ ≤ ⇒ ≤≤
5
y
5 22
(2 – 3)
–5
2
.
= 1 and T98 = 2. Hence, the 98th Hence, y increases from – 5 to
term is 2."
40,"If x is a rational number and y is an irrational
number, then",both x + y and xy are necessarily rational,both x + y and xy are necessarily irrational,"xy is necessarily irrational, but x + y can be either
rational or irrational","x + y is necessarily irrational, but xy can be either
rational or irrational",d,"(a) Let x = 0 and y = 2 . Then, x is rational and y is
irrational.
\ x + y = 0 + =2
2 which is irrational.
Thus, x + y is not rational.
(1 – 3)
y
y + 32
≤
(2 – 3)34
QUANTITATIVE APTITUDE
(b) Let x = 0 and y = 2 . Then, x is rational and y is
irrational.
\ xy = 0 × 2 = 0, which is rational.
Hence, xy is not irrational.
(c) As shown in (b), xy is not necessarily irrational.
(d) x + y is necessary irrational. But xy can be either
rational or irrational.
Hence, (d) is true."
41,"The difference between the square of any two con-
secutive integers is equal to",sum of two numbers,difference of two numbers,an even number,"product of two numbers
5
216
QUANTITATIVE APTITUDE",a,"Let x and (x + 1) be two consecutive integers. Then
(x + 1)2 – x2 = (x + 1 + x) (x + 1 – x) = (x + 1 + x) × 1
= (x + 1 + x) = sum of given numbers.
ab"
42,"Between two distinct rational numbers a and b, there
exists another rational number which is (P.C.S., 2006)",,,"a
2
ab
2","b
2
ab
+
2",d,"If a and b are two rational numbers, then
rational number lying between a and b.
+
2
is a"
43,"If B > A, then which expression will have the highest
value (given that A and B are positive integers)?",,,,,d,"B > A ⇒ A < B ⇒ (A – B) < 0.
Since A and B are both positive integers, we have
(A + B) > 0 and AB > 0.
If (A = 1 and B = 2), we have AB < (A + B).
If (A = 2 and B = 3), we have (A + B) < AB.
Thus, we cannot say which one of A + B and AB has the
highest value."
51,"In the relation x > y + z, x + y > p and z < p, which
of the following is necessarily true?
(Campus Recruitment, 2008)",y > p,x + y > z,y + p > x,Insufficient data,b,"x + y > p and p > z ⇒ x + y > z.
(ab"
52,"If a and b are positive integers and
then
ab
3.5 7
() 4
−
=
,
(Campus Recruitment, 2010)
(Campus Recruitment, 2007)",A – B,AB,A + B,Can't say,b,"– ) 4
= ⇒ = × = ⇒< ."
44,"If 0 < x < 1, which of the following is greatest?
(Campus Recruitment, 2007)",x,"x2
1","1
x","x
2",d,"0 < x < 1 ⇒ x2 < x < 1
11
...(i)
⇒
x
1
Hence, 2
x
12"
45,"If p is a positive fraction less than 1, then","1
p",,p2 is less than p,"2
p",d,"p < 1 ⇒ >⇒ >
12 – 2– 0pp [ p < 1]
2
⇒ >>
pp
Hence,



2
p"
46,"If x is a real number, then x2 + x + 1 is","less than
3
4",zero for at least one value of x,always negative,"greater than or equal to
3
4",d,"(x2 + x + 1) = xx++ +



2 13
4
4
 
2
=  
1 33

x + +≥
2 44



 0
1

x + ≥
2
Hence, (x2 + x + 1) is greater than or equal to"
47,"Let n be a natural number such that + +
1 1
2 37 n (A.A.O. Exam, 2009)",2 divides n,3 divides n,7 divides n,n > 84,d,"
 1
1
1 1
 2 3 7 
+ + +=


++
n nn
(21 14 6) 141
+ = +
42
.
1

42
This sum is a natural number when n = 42.
So, each one of the statements that 2 divides n ; 3 divides
n and 7 divides n is true.
Hence, n > 84 is false."
48,"If n is an integer, how many values of n will give
an integral value of



16 2 7 6
nn
n
++",2,3,4,None of these,c,"(16 7 6)nn nn167 6
2
++  
n nn n
2
n


n
6 
=++ = ++16 7 .


For



16 7n++
n
or n = 2 or n = 3 or n = 6.
Hence, 4 values of n will give the desired result."
49,"If p > q and r < 0, then which is true?",pr < qr,p – r < q – r,p + r < q + r,None of these,a,(p > q and r < 0) ⇒ pr < qr is true.
50,"If X < Z and X < Y, which of the following is
necessarily true?
I. Y < Z
III. ZX < Y + Z
(Questions 54–57): For a 5–digit number, without
repetition of digits, the following information is available.
is a positive integer
(B.B.A., 2006)
(i) The first digit is more than 5 times the last digit.
(ii) The two-digit number formed by the last two
digits is the product of two prime numbers.
(iii) The first three digits are all odd.
(iv) The number does not contain the digits 3 or 0
and the first digit is also the largest.",Only I,"1
p
– is a positive number
Directions","Only III
II. X2 < YZ","None of these
?
p
is less than 1",b,(X < Z and X < Y) ⇒ X2 < YZ.
54,The second digit of the number is,5,7,9,Cannot be determined,d,The second digit of the number is either 5 or 7.
55,The last digit of the number is,0,,,,b,The last digit of the number is 1.
53,"If 13 =
(1 – )
13
w
(2w) ?
2 =
(Campus Recruitment, 2009)","1
4",1,"1
w",3,c,"13
= ⇒ =⇒ = ⇒ =⇒ =
1 (1 – ) (1 – )
w
ww
1
\ (2w)2 = 4w2 = 4 × =
4
Questions 54 to 57
Let the digits of the number in order be A, B, C, D, E.
Then, A > 5 E ⇒ E = 1."
56,The largest digit in the number is,5,7,8,9,d,The largest digit in the number is 9.
57,"Which of the following is a factor of the given
number?",2,3,4,9,b,"The number is odd. So, it is not divisible by 2 or 4.
Sum of digits = 9 + 7 + 5 + 2 + 1 = 24, which is divisible
by 3 but not by 9.
So, the given number is divisible by 3."
58,The least prime number is,0,1,2,3,c,The least prime number is 2.
59,Consider the following statements:,,,,,d,"Statement 1. Let x = 4 and y = 15. Then, each one of x
and y is a composite number.
But, x + y = 19, which is not composite.
\ Statement 1 is not true.
Statement 2. We know that 1 is neither prime nor
composite.
\ Statement 2 is not true.
Thus, neither 1 nor 2 is correct."
1,"If x and y are composite numbers, then x + y is
always composite.",,,,,c,"w
1
w ww w
1– 2 1
1
2
.
A, B, C are all odd and none of the digits is 3 ⇒ A, B, C
are the digits from 5, 7, 9.
Since A is the largest digit, so A = 9.
\ B = 5 or 7 and C = 5 or 7.
Now, the number DE is the product of two prime numbers.
E = 1 and D = 2, 4, 6 or 8.
41 and 61 are prime numbers and 81 cannot be expressed
as product of two primes.
Only 21 can be expressed as the product of two prime
numbers (21 = 3 × 7).
So, D = 2.
Hence, the number is 95721 or 97521."
2,"There does not exist a natural number which is
neither prime nor composite.
Which of the above statements is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a,"+
=40
QUANTITATIVE APTITUDE"
60,The number of prime numbers between 0 and 50 is,14,15,16,"17NUMBER SYSTEM
17",b,"Prime numbers between 0 and 50 are:
2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43 and 47.
Their number is 15."
61,"The prime numbers dividing 143 and leaving a
remainder of 3 in each case are",2 and 11,11 and 13,3 and 7,5 and 7,d,"Each of the required numbers must divide (143 – 3) = 140
exactly.
Now, 140 = 5 × 7 × 4.
Hence, the required prime numbers are 5 and 7."
62,The sum of the first four primes is,10,11,16,17,d,Sum of first four prime numbers = (2 + 3 + 5 + 7) = 17.
63,The sum of all the prime numbers from 1 to 20 is,75,76,77,78,c,"Sum of all prime numbers from 1 to 20 = (2 + 3 + 5 + 7
+ 11 + 13 + 17 + 19) = 77."
64,"A prime number N, in the range 10 to 50, remains
unchanged when its digits are reversed. The square
of such a number is",121,484,1089,1936,a,"Clearly, 11 is a prime number which remains unchanged
when its digits are interchanged. And, (11)2 = 121.
Hence, the square of such a number is 121."
65,"The remainder obtained when any prime number
greater than 6 is divided by 6 must be
(Campus Recruitment, 2007)",either 1 or 2,either 1 or 3,either 1 or 5,either 3 or 5,c,"Let the required prime number be p. Let p when divided
by 6 give n as quotient and r as remainder. Then
p = 6n + r, where 0 ≤ r < 6
Now, r = 0, r = 2, r = 3 and r = 4 do not give p as prime.
\ r ≠ 0, r ≠ 2, r ≠ 3 and r ≠ 4.
Hence, r = 1 or r = 5."
66,"Which of the following is not a prime number?
(CLAT, 2010)",21,23,29,43,a,"Clearly, 21 = 3 × 7, so 21 is not prime."
67,"Which of the following is a prime number?
(CLAT, 2010)",19,20,21,22,a,"Clearly, 19 is a prime number."
68,"Which of the following is a prime number?
(Campus Recruitment, 2008)",115,119,127,None of these,c,"We know that 115 is divisible by 5. So, it is not prime.
119 is divisible by 7. So, it is not prime.
127 < (12)2 and prime numbers less than 12 are 2, 3, 5, 7, 11.
Clearly, 127 is not exactly divisible by any of them. Hence,
127 is a prime number.NUMBER SYSTEM
35"
69,"Which of the following is a prime number?
(R.R.B., 2006)",143,289,117,359,d,"Clearly, 143 is divisible by 11. So, 143 is not prime.
289 is divisible by 17. So, 289 is not prime.
117 is divisible by 3. So, 117 is not prime.
359 < (20)2 and prime numbers less than 20 are 2, 3, 5, 7,
11, 13, 17, 19.
And, 359 is not exactly divisible by any of them. Hence,
359 is a prime number."
70,"The smallest value of natural number n, for which
2n + 1 is not a prime number, is",3,4,5,None of these,b,"Putting n = 1, 2, 3, 4 respectively in (2n + 1) we get:
(2 × 1 + 1) = 3, (2 × 2 + 1) = 5, (2 × 3 + 1) = 7 and (2 ×
4 + 1) = 9,
where 3, 5, 7 are prime numbers.
\ The smallest value of n for which (2n + 1) is not
prime, is n = 4."
71,The smallest three-digit prime number is,101,103,107,None of these,a,"Clearly, 100 is divisible by 2. So, 100 is not prime.
(101) < (11)2 and prime numbers less than 11 are 2, 3, 5, 7.
Clearly, 101 is not divisible by any of 2, 3, 5 and 7.
Hence, 101 is the smallest 3-digit prime number."
72,"How many of the integers between 110 and 120 are
prime numbers? (M.B.A., 2006)
(e) 4",0,1,2,3,b,"Each one of 112, 114, 116, 118 is divisible by 2. So, none
is prime.
Each one of 111, 114, 117 is divisible by 3. So, none is prime.
Clearly, 115 is divisible by 5. So, it is not prime.
Each one of 112 and 119 is divisible by 7. So, none is prime.
Hence, there is only 1 prime number between 110 and
120, which is 113."
73,"Four prime numbers are arranged in ascending
order. The product of first three is 385 and that of
last three is",,,,,c,"Let the given prime numbers be p, q, r and s. Then
p × q × r = 385 and q × r × s = 1001
55
5
⇒
pq r
qr s
××
=
×
×
1001
13
143
Hence the largest of these prime numbers is 13."
1001,"The largest prime number is
(R.R.B., 2006)",9,11,13,17,,
74,The sum of three prime numbers is,,,,,d,"Let the required prime numbers be x, y, y + 36. Then,
x + y + y + 36 = 100 ⇒ x + 2y = 64
Let x = 2. Then, 2y = 62 ⇒ y = 31.
So, these prime numbers are 2, 31 and 67.
In given choices 67 is the answer."
100,"If one
of them exceeds another by 36, then one of the
numbers is",7,29,41,67,a,"– 95 ÷ 19 =
– 95
19
= – 5.
127512 18216 2024 1012
=
=
=
414 7 414 46 23
×
44
23 1012
92
92
92
×"
75,Which one of the following is a prime number?,161,221,373,437,c,"437 > 20
All prime numbers less than 20 are 2, 3, 5, 7, 11, 13, 17,"
76,"The smallest prime number, that is the fifth term of
an increasing arithmetic sequence in which all the
four preceding terms are also prime, is",17,29,37,53,b,"The required arithmetic sequence of five prime numbers is
5, 11, 17, 23, 29 and therefore, the required 5th term is 29."
77,"The number of prime numbers between 301 and
320 are",3,4,5,6,c,"Each of the numbers 302, 303, 304, 305, 306, 308, 309, 310,
312, 314, 315, 316 and 318 is clearly a composite number.
Out of 307, 311, 313, 317 and 319 clearly every one is prime.
Hence, there are 5 prime numbers between 301 and 320."
78,Consider the following statements:,,,,,b,"Clearly, 3 ≠ 4n + 1 and 3 ≠ 4n + 3 for any natural number n.
\ Statement (1) is false.
Putting p = 3, 5, 7, 11, 13, 17 etc. we get:
(p – 1) (p + 1) = (2 × 4), (4 × 6), (6 × 8), (10 × 12), (12 ×
14), (16 × 18) etc., each one of which is divisible by 4.
\ Statement (2) is true.
Hence, (1) is false and (2) is true."
1,"If p > 2 is a prime, then it can be written as
4n + 1 or 4n + 3 for a suitable natural number n.",,,,,c,"w
1
w ww w
1– 2 1
1
2
.
A, B, C are all odd and none of the digits is 3 ⇒ A, B, C
are the digits from 5, 7, 9.
Since A is the largest digit, so A = 9.
\ B = 5 or 7 and C = 5 or 7.
Now, the number DE is the product of two prime numbers.
E = 1 and D = 2, 4, 6 or 8.
41 and 61 are prime numbers and 81 cannot be expressed
as product of two primes.
Only 21 can be expressed as the product of two prime
numbers (21 = 3 × 7).
So, D = 2.
Hence, the number is 95721 or 97521."
2,"If p > 2 is a prime, then (p – 1) (p + 1) is always
divisible by",,,,,a,"+
=40
QUANTITATIVE APTITUDE"
4,"Of these statements,
(1) is true but (2) is false
(1) is false but (2) is true
(1) and (2) are false
(1) and (2) are true",,,,,d,"Difference between the place values of 7 and 3 in given
numeral = (7000 – 30) = 6970."
79,"What is the first value of n for which n2 + n + 41
is not a prime?",1,10,20,40,d,"n = 1 ⇒ (n2 + n + 41) = (1 + 1 + 41) = 43, which is prime.
n = 10 ⇒ (n2 + n + 41) = (100 + 10 + 41) = 151, which is prime.
n = 20 ⇒ (n2 + n + 41) = (400 + 20 + 41) = 461, which is prime.
n = 40 ⇒ (n2 + n + 41) = (1600 + 40 + 41) = 1681, which
is divisible by 41.
Thus, 1681 is not a prime number.
Hence n = 40 for which (n2 + n + 41) is not prime.
385 55
=⇒ =⇒ = 5 and = 13.
p
13
s
13
ps"
80,"Let Xk = (p1p2 .......pk) + 1, where p1, p2, ........., pk are
the first k primes.
Consider the following:",,,,,d,"X2 = (2 × 3) + 1 = 7, which is prime and X2 + 1 = 8, which
is even.
X3 = (2 × 3 × 5) + 1 = 31, which is prime and X3 + 1
= 32, which is even.
X4 = (2 × 3 × 5 × 7) + 1 = 211, which is prime and X4 +
1 = 212, which is even and so on.
Thus Xk is prime and (Xk + 1) is even.
Hence, 1 and 3 are true statements."
1,Xk is a prime number.,,,,,c,"w
1
w ww w
1– 2 1
1
2
.
A, B, C are all odd and none of the digits is 3 ⇒ A, B, C
are the digits from 5, 7, 9.
Since A is the largest digit, so A = 9.
\ B = 5 or 7 and C = 5 or 7.
Now, the number DE is the product of two prime numbers.
E = 1 and D = 2, 4, 6 or 8.
41 and 61 are prime numbers and 81 cannot be expressed
as product of two primes.
Only 21 can be expressed as the product of two prime
numbers (21 = 3 × 7).
So, D = 2.
Hence, the number is 95721 or 97521."
2,Xk is a composite number.,,,,,a,"+
=40
QUANTITATIVE APTITUDE"
3,"Xk + 1 is always an even number.
Which of the above is/are correct?",1 only,2 only,3 only,,c,"Hence, 4006020 is divisible by 3."
81,"6 × 3 (3 – 1) is equal to
(CLAT, 2010)",19,20,36,53,c,6 × 3 (3 – 1) = 6 × 3(2) = 6 × 6 = 36.
82,"1234 + 2345 – 3456 + 4567 =? (Bank Recruitment, 2010)
(e) None of these",4590,4670,4680,4690,d,"Given Expression = (1234 + 2345 + 4567) – 3456
= (8146 – 3456) = 4690.
1 2 3 4
2 3 4 5
+ 4 5 6 7
8 1 4 6
– 3 4 5 6
4 6 9 0"
83,"5566 – 7788 + 9988 =? + 4444 (Bank Recruitment, 2010)
(e) None of these",3223,3232,3322,"333318
QUANTITATIVE APTITUDE",c,"Let 5566 – 7788 + 9988 = x + 4444. Then
(5566 + 9988) – 7788 = x + 4444
⇒ 15554 – 7788 = x + 4444 ⇒ x + 4444 = 7766
⇒ x = (7766 – 4444) = 3322.
7 7 6 6
– 4 4 4 4
3 3 2 236
QUANTITATIVE APTITUDE
⇒ x = 9824 – 8074 ⇒ x = 1750.
9 8 2 4
– 8 0 7 4
1 7 5 0
8 8 8 8
8 4 8
+ 8 8
9 8 2 4"
84,"38649 – 1624 – 4483 =? (Bank Recruitment, 2009)
(e) None of these",32425,32452,34522,35422,,"Given Expression = 38649 – (1624 + 4483)
= (38649 – 6107) = 32542."
85,"884697 – 773697 – 102479 =? (Bank Recruitment, 2009)
(e) None of these",8251,8512,8521,8531,c,"Given Expression = 884697 – (773697 + 102479)
= 884697 – 876176
= 8521.
8 8 4 6 9 7
– 8 7 6 1 7 6
8 5 2 1"
86,"10531 + 4813 – 728 =? × 87 (Bank Recruitment, 2008)
(e) None of these",168,172,186,,a,"Let 10531 + 4813 – 728 = x × 87. Then
(15344 – 728) = 87 × x ⇒ x =
14616
87
1 0 5 3 1
+ 4 8 1 3
1 5 3 4 4
– 7 2 8
1 4 6 1 6
168
87 1 4616
87
591
522
696
696"
87,"What is 394 times 113?
(e) None of these",44402,44522,44632,44802,b,"394 × 113 = 394 × (100 + 10 + 3)
= (394 × 100) + (394 × 10) + (394 × 3)
= 39400 + 3940 + 1182
= 44522.
×
3 9 4 0 0
3 9 4 0
+ 1 1 8 2
4 4 5 2 2"
88,"1260 ÷ 14 ÷ 9 =? (Bank P.O., 2009)
(e) None of these",9,10,81,810,b,"1260 ÷ 14 ÷ 9 = ×× =
11


1260
14 9"
89,"136 × 12 × 8 =? (Bank P.O., 2009)
(e) None of these",12066,13046,13064,13066,,"136 × 12 × 8 = 136 × 96 = 136 × (100 – 4)
= (136 × 100) – (136 × 4)
= 13600 – 544 = 13056."
90,"8888 + 848 + 88 –? = 7337 + 737
(e) None of these",1450,1550,1650,1750,d,"Let 8888 + 848 + 88 – x = 7337 + 737.
Then 9824 – x = 8074
1 3 6 0 0
– 5 4 4
1 3 0 5 6"
91,"414 ×? × 7 = 127512 (Bank P.O., 2009)
(e) None of these",36,40,44,48,c,"Let 414 × x × 7 = 127512. Then
x =
7 3 3 7
+ 7 3 7
8 0 7 4"
92,Product of 82540027 and 43253 is,3570103787831,3570103787832,3570103787833,3570103787834,a,"82540027 × 43253 = 82540027 × (40000 + 3000 + 200 + 50 + 3)
= (82540027 × 40000) + (82540027 × 3000)+(82540027 × 200)
+ (82540027 × 50) + (82540027 × 3)
+
3 3 0 1 6 0 1 0 8 0 0 0 0
2 4 7 6 2 0 0 8 1 0 0 0
1 6 5 0 8 0 0 5 4 0 0
4 1 2 7 0 0 1 3 5 0
2 4 7 6 2 0 0 8 1
3 5 7 0 1 0 3 7 8 7 8 3 1
Shortcut Method:
Product of unit's digits of the given numbers = 7 × 3 = 21
Clearly, the required product will have 1 as the unit's
digit, which is 3570103787831."
93,"(46351 – 36418 – 4505) ÷? = 1357 (Bank P.O., 2009)
(e) None of these",2,3,4,6,c,"Let
46351 – 36418 – 4505
x
= 1357. Then
x =
46351 – (36418 4505)
1357
+
⇒ x = ==4.
(46351 – 40923) 5428
1357
1357
4 6 3 5 1
– 4 0 9 2 3
5 4 2 8
3 6 4 1 8
+ 4 5 0 5
4 0 9 2 3"
